,ticker,SIC,Four Digit SIC Codes,Four Digit SIC Code Descriptions,SIC Two Digit,Two Digit SIC Codes,Two Digit SIC Code Descriptions
0,TTMI,3672,3672.0,PRINTED CIRCUIT BOARDS,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
1,OEC,0,,,0,,
2,USDU,0,,,0,,
3,BWXT,9711,9711.0,NATIONAL SECURITY,97,97.0,NATIONAL SECURITY AND INTERNATIONAL AFFAIRS
4,WRB,6331,6331.0,"FIRE, MARINE, AND CASUALTY INSURANCE",63,63.0,INSURANCE CARRIERS
5,WIW,6726,6726.0,"INVESTMENT OFFICES, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
6,MMIT,0,,,0,,
7,MTG,6351,6351.0,SURETY INSURANCE,63,63.0,INSURANCE CARRIERS
8,ELVT,6111,6111.0,FEDERAL AND FEDERALLY SPONSORED CREDIT,61,61.0,NONDEPOSITORY CREDIT INSTITUTIONS
9,ASG,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
10,IDOG,0,,,0,,
11,ESNT,0,,,0,,
12,DCF,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
13,KORU,0,,,0,,
14,ERX,0,,,0,,
15,JEF,0,,,0,,
16,GLP,5171,5171.0,PETROLEUM BULK STATIONS AND TERMINALS,51,51.0,WHOLESALE TRADE - NONDURABLE GOODS
17,KNSW,0,,,0,,
18,FLGR,0,,,0,,
19,BLDG,0,,,0,,
20,OLP,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
21,MTVC.U,0,,,0,,
22,IBDP,0,,,0,,
23,FTI,0,,,0,,
24,VLU,0,,,0,,
25,CDAK,0,,,0,,
26,EPR,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
27,DY,1623,1623.0,"WATER, SEWER, AND UTILITY LINES",16,16.0,"HEAVY CNSTRCTN, EXCEPT BUILDING CONSTRUCTION - CONTRACTORS"
28,RS,3312,3312.0,BLAST FURNACES AND STEEL MILLS,33,33.0,PRIMARY METAL INDUSTRIES
29,ELV,0,,,0,,
30,INSM,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
31,SPYG,0,,,0,,
32,VERX,0,,,0,,
33,CXH,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
